리뷰 No.,제품 ID,제품명,닉네임,피부 타입,피부 고민,작성 시간,별점 (0/5),리뷰 내용,태그,평균 별점 (제품별),사진1(선택),사진1(선택),사진3(선택)
262,14,어성초 진정해 수분 토너,용감한고양이342,지성,"보습, 여드름",2025.01.02,5,산뜻하게 발려서 좋아요. 가격도 합리적이라 좋았어요.,"산뜻함, 빠른 흡수",4.62,,,
263,14,어성초 진정해 수분 토너,촉촉한부엉이132,복합성,"보습, 민감성, 여드름",2025.08.28,4,'어성초 진정해 수분 토너' 사용 후기예요. 저자극이라 편하게 쓸 수 있었어요. 산뜻하게 발려서 좋아요. 가격도 합리적이라 좋았어요.,"저자극, 산뜻함",4.62,https://drive.google.com/file/d/1zq3P8qSp08KUqH6fO43gyB7iQJ92euyj/view?usp=sharing,https://drive.google.com/file/d/1bocHCItpJLBX1ahcps1WYzqFz_wvlbZk/view?usp=sharing,https://drive.google.com/file/d/12k93s9vJTX-DNXLO8K94u38nEEghhUaX/view?usp=sharing
264,14,어성초 진정해 수분 토너,익명의코알라498,지성,여드름,2026.07.22,5,'어성초 진정해 수분 토너' 사용 후기예요. 가볍게 발려요. 흡수가 빨라서 좋아요. 재구매 의사 있어요!,"빠른 흡수, 가벼움",4.62,,,
265,14,어성초 진정해 수분 토너,반짝이는토끼775,지성,"보습, 여드름, 민감성",2026.08.30,3,'어성초 진정해 수분 토너' 사용 후기예요. 저자극이라 편하게 쓸 수 있었어요. 산뜻하게 발려서 좋아요. 가볍게 발려요. 그냥 무난하게 쓰고 있어요.,"저자극, 가벼움, 빠른 흡수, 무향, 산뜻함",4.62,,,
266,14,어성초 진정해 수분 토너,부지런한수달61,복합성,보습,2025.10.23,4,저자극이라 편하게 쓸 수 있었어요. 향이 거의 없어서 부담 없어요. 흡수가 빨라서 좋아요. 재구매는 고민중이에요.,"저자극, 빠른 흡수, 가벼움, 무향, 산뜻함",4.62,,,
267,14,어성초 진정해 수분 토너,느긋한하마872,지성,민감성,2026.03.20,5,흡수가 빨라서 좋아요. 산뜻하게 발려서 좋아요. 향이 거의 없어서 부담 없어요. 다음에도 또 살 것 같아요.,"가벼움, 산뜻함, 무향, 빠른 흡수, 저자극",4.62,,,
268,14,어성초 진정해 수분 토너,명랑한거북이532,복합성,"보습, 모공",2026.07.24,4,가볍게 발려요. 향이 거의 없어서 부담 없어요. 재구매는 고민중이에요.,"가벼움, 산뜻함, 저자극, 무향",4.62,,,
269,14,어성초 진정해 수분 토너,익명의여우88,지성,"여드름, 민감성, 보습",2025.04.11,5,가볍게 발려요. 재구매 의사 있어요!,"저자극, 가벼움, 산뜻함, 빠른 흡수",4.62,,,
270,15,플로라글로우 로즈 리퀴드 마스크,상큼한앵무새349,건성,보습,2026.05.11,4,쫀쫀한 텍스처가 마음에 들어요. 피부 결이 매끈해지는 느낌이에요. 윤광이 돌아서 피부가 화사해 보여요. 가격도 합리적이라 좋았어요.,"윤광, 매끈한 피부결, 빠른 흡수, 쫀쫀함",4.46,,,
271,15,플로라글로우 로즈 리퀴드 마스크,대담한나비305,건성,보습,2025.04.01,5,'플로라글로우 로즈 리퀴드 마스크' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요. 흡수가 빨라서 좋아요. 추천하고 싶어요.,"쫀쫀함, 윤광, 매끈한 피부결, 빠른 흡수",4.46,,,
272,15,플로라글로우 로즈 리퀴드 마스크,촉촉한기린916,건성,보습,2025.03.27,4,피부 결이 매끈해지는 느낌이에요. 윤광이 돌아서 피부가 화사해 보여요. 재구매 의사 있어요!,"매끈한 피부결, 빠른 흡수, 윤광",4.46,,,
273,15,플로라글로우 로즈 리퀴드 마스크,자유로운부엉이875,건성,보습,2025.04.11,4,윤광이 돌아서 피부가 화사해 보여요. 피부 결이 매끈해지는 느낌이에요. 쫀쫀한 텍스처가 마음에 들어요.,"빠른 흡수, 윤광, 쫀쫀함, 매끈한 피부결",4.46,,,
274,15,플로라글로우 로즈 리퀴드 마스크,대담한부엉이24,건성,보습,2025.09.13,5,쫀쫀한 텍스처가 마음에 들어요. 윤광이 돌아서 피부가 화사해 보여요. 다음에도 또 살 것 같아요.,"쫀쫀함, 윤광, 매끈한 피부결",4.46,,,
275,15,플로라글로우 로즈 리퀴드 마스크,자유로운나비701,건성,보습,2025.02.07,4,흡수가 빨라서 좋아요. 재구매는 고민중이에요.,"빠른 흡수, 쫀쫀함",4.46,,,
276,15,플로라글로우 로즈 리퀴드 마스크,부드러운라쿤488,건성,보습,2026.06.06,5,윤광이 돌아서 피부가 화사해 보여요.,"쫀쫀함, 매끈한 피부결, 빠른 흡수, 윤광",4.46,,,
277,15,플로라글로우 로즈 리퀴드 마스크,활발한하마280,건성,보습,2026.09.05,5,흡수가 빨라서 좋아요. 피부 결이 매끈해지는 느낌이에요.,"쫀쫀함, 매끈한 피부결, 윤광, 빠른 흡수",4.46,https://drive.google.com/file/d/12T_qi8M_zqHlcFzwpLS6NxC8cxLZbGrX/view?usp=sharing,,
278,15,플로라글로우 로즈 리퀴드 마스크,행복한코알라879,건성,보습,2025.02.11,5,'플로라글로우 로즈 리퀴드 마스크' 사용 후기예요. 윤광이 돌아서 피부가 화사해 보여요. 피부 결이 매끈해지는 느낌이에요. 쫀쫀한 텍스처가 마음에 들어요. 재구매 의사 있어요!,"윤광, 쫀쫀함, 매끈한 피부결",4.46,,,
279,15,플로라글로우 로즈 리퀴드 마스크,활발한부엉이378,건성,보습,2026.08.22,3,윤광이 돌아서 피부가 화사해 보여요. 흡수가 빨라서 좋아요. 피부 결이 매끈해지는 느낌이에요. 그냥 무난하게 쓰고 있어요.,"빠른 흡수, 매끈한 피부결, 쫀쫀함, 윤광",4.46,,,
280,15,플로라글로우 로즈 리퀴드 마스크,상큼한호랑이908,건성,보습,2026.04.23,5,'플로라글로우 로즈 리퀴드 마스크' 사용 후기예요. 쫀쫀한 텍스처가 마음에 들어요. 윤광이 돌아서 피부가 화사해 보여요. 피부 결이 매끈해지는 느낌이에요. 다음에도 또 살 것 같아요.,"매끈한 피부결, 쫀쫀함, 윤광",4.46,,,
281,15,플로라글로우 로즈 리퀴드 마스크,부지런한문어946,건성,보습,2025.06.01,5,'플로라글로우 로즈 리퀴드 마스크' 사용 후기예요. 윤광이 돌아서 피부가 화사해 보여요. 피부 결이 매끈해지는 느낌이에요. 추천하고 싶어요.,"매끈한 피부결, 윤광",4.46,https://drive.google.com/file/d/1Xyf2vNSOeLWT04ZDlfRcm2CxKYIuK7NU/view?usp=sharing,,
282,15,플로라글로우 로즈 리퀴드 마스크,명랑한거북이592,건성,보습,2026.06.05,4,'플로라글로우 로즈 리퀴드 마스크' 사용 후기예요. 피부 결이 매끈해지는 느낌이에요. 가격도 합리적이라 좋았어요.,"매끈한 피부결, 윤광",4.46,,,
283,16,리얼 히알루로닉 토너,몽글몽글한곰돌이398,수부지,없음,2025.04.29,5,흡수가 빨라서 좋아요. 수분감이 오래가서 좋아요. 재구매 의사 있어요!,"끈적임 적음, 가벼움, 수분감, 빠른 흡수",4,,,
284,16,리얼 히알루로닉 토너,대담한알파카355,복합성,보습,2026.04.29,5,'리얼 히알루로닉 토너' 사용 후기예요. 산뜻하게 발려서 좋아요. 수분감이 오래가서 좋아요. 끈적임이 적어서 좋아요. 재구매 의사 있어요!,"가벼움, 끈적임 적음, 산뜻함, 수분감",4,,,
285,16,리얼 히알루로닉 토너,익명의여우542,복합성,"보습, 여드름",2026.07.26,4,'리얼 히알루로닉 토너' 사용 후기예요. 가볍게 발려요. 흡수가 빨라서 좋아요. 만족스러운 소비였어요.,"산뜻함, 빠른 흡수, 가벼움, 수분감",4,,,
286,16,리얼 히알루로닉 토너,소심한벌새656,복합성,"보습, 여드름",2026.04.06,3,'리얼 히알루로닉 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 흡수가 빨라서 좋아요. 재구매는 고민중이에요.,"수분감, 가벼움, 끈적임 적음, 빠른 흡수",4,https://drive.google.com/file/d/1z_4ZbSKzG2bcUJ2fUcCGomYka9VTsprz/view?usp=sharing,,
287,16,리얼 히알루로닉 토너,사랑스런여우219,수부지,보습,2026.08.05,4,'리얼 히알루로닉 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 흡수가 빨라서 좋아요.,"가벼움, 산뜻함, 끈적임 적음, 빠른 흡수, 수분감",4,,,
288,16,리얼 히알루로닉 토너,활발한코알라348,복합성,보습,2026.08.19,3,가볍게 발려요. 재구매는 고민중이에요.,"수분감, 가벼움",4,,,
289,17,레드 블레미쉬 10-시카 캡슐 수딩 토너,엉뚱한오리4,복합성,민감성,2026.07.09,5,흡수가 빨라서 좋아요. 캡슐이 톡톡 터지는 재미가 있어요.,"빠른 흡수, 캡슐, 수분감, 끈적임 적음",4,,,
290,17,레드 블레미쉬 10-시카 캡슐 수딩 토너,행복한고양이336,복합성,미백/잡티,2026.02.27,3,수분감이 오래가서 좋아요.,"빠른 흡수, 캡슐, 알갱이, 수분감, 끈적임 적음",4,,,
291,17,레드 블레미쉬 10-시카 캡슐 수딩 토너,조용한병아리268,복합성,"민감성, 탄력/주름",2025.04.18,4,'레드 블레미쉬 10-시카 캡슐 수딩 토너' 사용 후기예요. 캡슐이 톡톡 터지는 재미가 있어요. 가격도 합리적이라 좋았어요.,"캡슐, 끈적임 적음",4,https://drive.google.com/file/d/1HcNLYC8aDUzOKOEZgav_bh__-tcxJeo_/view?usp=sharing,,
292,17,레드 블레미쉬 10-시카 캡슐 수딩 토너,부드러운판다915,복합성,미백/잡티,2025.03.20,4,'레드 블레미쉬 10-시카 캡슐 수딩 토너' 사용 후기예요. 수분감이 오래가서 좋아요. 캡슐이 톡톡 터지는 재미가 있어요. 끈적임이 적어서 좋아요. 재구매 의사 있어요!,"수분감, 캡슐, 끈적임 적음, 알갱이",4,,,
293,17,레드 블레미쉬 10-시카 캡슐 수딩 토너,씩씩한사자844,지성,탄력/주름,2025.10.11,5,'레드 블레미쉬 10-시카 캡슐 수딩 토너' 사용 후기예요. 캡슐이 톡톡 터지는 재미가 있어요. 다음에도 또 살 것 같아요.,"캡슐, 알갱이",4,,,
294,17,레드 블레미쉬 10-시카 캡슐 수딩 토너,잠많은판다468,지성,여드름,2026.08.30,4,수분감이 오래가서 좋아요. 만족스러운 소비였어요.,"끈적임 적음, 캡슐, 수분감, 빠른 흡수",4,,,
295,17,레드 블레미쉬 10-시카 캡슐 수딩 토너,대담한알파카644,복합성,"탄력/주름, 미백/잡티",2025.02.04,2,흡수가 빨라서 좋아요. 캡슐이 톡톡 터지는 재미가 있어요. 미세 알갱이가 느껴지는데 재밌는 사용감이에요. 기대만큼은 아니었어요.,"캡슐, 끈적임 적음, 알갱이, 수분감, 빠른 흡수",4,https://drive.google.com/file/d/1zq3P8qSp08KUqH6fO43gyB7iQJ92euyj/view?usp=sharing,,
296,17,레드 블레미쉬 10-시카 캡슐 수딩 토너,반짝이는문어634,지성,미백/잡티,2026.04.07,5,'레드 블레미쉬 10-시카 캡슐 수딩 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 수분감이 오래가서 좋아요. 가격도 합리적이라 좋았어요.,"캡슐, 수분감, 끈적임 적음",4,,,
297,17,레드 블레미쉬 10-시카 캡슐 수딩 토너,자유로운나비222,복합성,"탄력/주름, 미백/잡티",2025.03.23,4,캡슐이 톡톡 터지는 재미가 있어요. 수분감이 오래가서 좋아요. 미세 알갱이가 느껴지는데 재밌는 사용감이에요.,"수분감, 캡슐, 알갱이, 끈적임 적음, 빠른 흡수",4,,,
298,17,레드 블레미쉬 10-시카 캡슐 수딩 토너,명랑한알파카812,복합성,"민감성, 미백/잡티",2025.06.27,3,끈적임이 적어서 좋아요.,"알갱이, 끈적임 적음",4,,,
299,17,레드 블레미쉬 10-시카 캡슐 수딩 토너,촉촉한판다549,복합성,"탄력/주름, 여드름, 민감성",2025.04.14,5,'레드 블레미쉬 10-시카 캡슐 수딩 토너' 사용 후기예요. 끈적임이 적어서 좋아요. 재구매 의사 있어요!,"끈적임 적음, 캡슐, 수분감, 알갱이, 빠른 흡수",4,,,
300,18,다이브인 저분자 히알루론산 스킨부스터,용감한기린387,복합성,"보습, 민감성",2025.02.21,3,'다이브인 저분자 히알루론산 스킨부스터' 사용 후기예요. 수분감이 오래가서 좋아요.,"빠른 흡수, 수분감",4.07,,,
301,18,다이브인 저분자 히알루론산 스킨부스터,평범한하마126,복합성,"민감성, 보습",2025.10.23,3,끈적임이 적어서 좋아요. 재구매는 고민중이에요.,"빠른 흡수, 끈적임 적음",4.07,,,
302,18,다이브인 저분자 히알루론산 스킨부스터,용감한코알라464,수부지,"보습, 민감성",2025.08.11,5,흡수가 빨라서 좋아요. 향료가 첨가되지 않았어요. 끈적임이 적어서 좋아요. 재구매 의사 있어요!,"빠른 흡수, 향료 무첨가, 끈적임 적음",4.07,https://drive.google.com/file/d/1rLSSL3E9r5Uj_mji-CX6ofhIfZpk1qsZ/view?usp=sharing,https://drive.google.com/file/d/1SjX9IIITjT9QY3Gud2wbafGP2S3cnY0b/view?usp=sharing,
303,18,다이브인 저분자 히알루론산 스킨부스터,조용한하마452,수부지,없음,2025.12.14,2,발림성이 정말 좋아요. 수분감이 오래가서 좋아요. 재구매는 안 할 것 같아요.,"발림성, 수분감",4.07,,,
304,18,다이브인 저분자 히알루론산 스킨부스터,소심한라쿤823,수부지,"민감성, 보습",2026.09.14,3,'다이브인 저분자 히알루론산 스킨부스터' 사용 후기예요. 끈적임이 적어서 좋아요. 향료가 첨가되지 않았어요. 흡수가 빨라서 좋아요.,"빠른 흡수, 발림성, 끈적임 적음, 수분감, 향료 무첨가",4.07,,,
305,18,다이브인 저분자 히알루론산 스킨부스터,사랑스런하마104,복합성,"보습, 민감성",2025.05.25,4,'다이브인 저분자 히알루론산 스킨부스터' 사용 후기예요. 흡수가 빨라서 좋아요. 향료가 첨가되지 않았어요. 재구매는 고민중이에요.,"향료 무첨가, 빠른 흡수",4.07,,,
306,18,다이브인 저분자 히알루론산 스킨부스터,산뜻한거북이594,수부지,"보습, 민감성",2025.07.27,4,끈적임이 적어서 좋아요. 흡수가 빨라서 좋아요. 발림성이 정말 좋아요.,"끈적임 적음, 수분감, 빠른 흡수, 발림성",4.07,,,
307,18,다이브인 저분자 히알루론산 스킨부스터,대담한다람쥐23,복합성,"민감성, 보습",2026.05.19,5,'다이브인 저분자 히알루론산 스킨부스터' 사용 후기예요. 향료가 첨가되지 않았어요. 발림성이 정말 좋아요. 재구매 의사 있어요!,"수분감, 향료 무첨가, 발림성",4.07,,,
308,18,다이브인 저분자 히알루론산 스킨부스터,조용한사자574,복합성,민감성,2026.07.01,5,향료가 첨가되지 않았어요. 발림성이 정말 좋아요. 수분감이 오래가서 좋아요. 가격도 합리적이라 좋았어요.,"끈적임 적음, 빠른 흡수, 발림성, 향료 무첨가, 수분감",4.07,https://drive.google.com/file/d/1SjX9IIITjT9QY3Gud2wbafGP2S3cnY0b/view?usp=sharing,,
309,18,다이브인 저분자 히알루론산 스킨부스터,귀여운두더지446,수부지,"민감성, 보습",2026.08.28,5,'다이브인 저분자 히알루론산 스킨부스터' 사용 후기예요. 수분감이 오래가서 좋아요. 향료가 첨가되지 않았어요. 가격도 합리적이라 좋았어요.,"향료 무첨가, 수분감",4.07,,,
310,18,다이브인 저분자 히알루론산 스킨부스터,조용한수달166,복합성,보습,2025.03.30,5,'다이브인 저분자 히알루론산 스킨부스터' 사용 후기예요. 끈적임이 적어서 좋아요. 다음에도 또 살 것 같아요.,"발림성, 끈적임 적음",4.07,,,
311,18,다이브인 저분자 히알루론산 스킨부스터,엉뚱발랄한하마744,복합성,"보습, 민감성",2025.01.10,5,흡수가 빨라서 좋아요. 발림성이 정말 좋아요. 추천하고 싶어요.,"빠른 흡수, 발림성",4.07,,,
312,18,다이브인 저분자 히알루론산 스킨부스터,명랑한다람쥐745,복합성,보습,2026.03.14,4,'다이브인 저분자 히알루론산 스킨부스터' 사용 후기예요. 향료가 첨가되지 않았어요. 끈적임이 적어서 좋아요.,"향료 무첨가, 빠른 흡수, 끈적임 적음",4.07,,,
313,18,다이브인 저분자 히알루론산 스킨부스터,반짝이는두더지601,수부지,"보습, 민감성",2026.06.05,4,'다이브인 저분자 히알루론산 스킨부스터' 사용 후기예요. 발림성이 정말 좋아요. 끈적임이 적어서 좋아요. 향료가 첨가되지 않았어요. 만족스러운 소비였어요.,"수분감, 발림성, 빠른 흡수, 향료 무첨가, 끈적임 적음",4.07,,,
314,20,어성초 카밍 토너 스킨 부스터,활발한여우599,지성,"보습, 민감성",2025.06.23,5,'어성초 카밍 토너 스킨 부스터' 사용 후기예요. 흡수가 빨라서 좋아요. 향료가 첨가되지 않았어요. 추천하고 싶어요.,"가벼움, 향료 무첨가, 빠른 흡수",4.55,,,
315,20,어성초 카밍 토너 스킨 부스터,느긋한벌새846,복합성,"민감성, 보습",2025.06.25,5,흡수가 빨라서 좋아요. 향료가 첨가되지 않았어요. 가볍게 발려요. 가격도 합리적이라 좋았어요.,"수분감, 빠른 흡수, 향료 무첨가, 가벼움",4.55,https://drive.google.com/file/d/1-OQR2okAbv1t8GBBknKTTsagR3NRAboC/view?usp=sharing,,
